Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
SEC 401,SEC 401.B,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Perşembe 18:40 - 21:30
SEC 402,SEC 402.A,İşletme Entegrasyonu,ALPTEGİN ALBAYRAKTAROĞLU,Salı 13:40 - 16:30
SOC 201,SOC 201.A,Sosyal Bilimlere Giriş,BURCU MUTLU,Çarşamba 12:40 - 15:30
SOC 201,SOC 201.B,Sosyal Bilimlere Giriş,BURCU MUTLU,Cuma 09:40 - 12:30
SOC 201,SOC 201.C,Sosyal Bilimlere Giriş,AYŞE DENİZ ÜNAN GÖKTAN,Çarşamba 12:40 - 15:30
SPA 101,SPA 101.C,İspanyolca I,FABIANA CARINA ZALAZAR,Salı 11:40 - 13:30 / Cuma 08:40 - 10:30
SPA 101,SPA 101.A,İspanyolca I,ERVIN DALETH OSTOS SANTOS,Cuma 10:40 - 12:30 / Salı 11:40 - 13:30
SPA 101,SPA 101.B,İspanyolca I,MELTEM MICHELE MARTINEZ VELASCO,Perşembe 14:40 - 16:30 / Salı 08:40 - 10:30
SPA 102,SPA 102.C,İspanyolca II,FABIANA CARINA ZALAZAR,Pazartesi 08:40 - 10:30 / Çarşamba 08:40 - 10:30
SPA 102,SPA 102.B,İspanyolca II,ERVIN DALETH OSTOS SANTOS,Perşembe 10:40 - 12:30 / Pazartesi 08:40 - 10:30
SPA 102,SPA 102.A,İspanyolca II,MELTEM MICHELE MARTINEZ VELASCO,Perşembe 10:40 - 12:30 / Pazartesi 08:40 - 10:30
SPA 201,SPA 201.D,İspanyolca III,FABIANA CARINA ZALAZAR,Çarşamba 10:40 - 12:30 / Cuma 10:40 - 12:30
SPA 201,SPA 201.C,İspanyolca III,FABIANA CARINA ZALAZAR,Pazartesi 13:40 - 15:30 / Çarşamba 13:40 - 15:30
SPA 201,SPA 201.A,İspanyolca III,ERVIN DALETH OSTOS SANTOS,Salı 08:40 - 10:30 / Perşembe 08:40 - 10:30
SPA 201,SPA 201.B,İspanyolca III,MELTEM MICHELE MARTINEZ VELASCO,Pazartesi 16:40 - 18:30 / Perşembe 16:40 - 18:30
SPA 202,SPA 202.B,İspanyolca IV,ERVIN DALETH OSTOS SANTOS,Pazartesi 13:40 - 15:30 / Cuma 08:40 - 10:30
SPA 202,SPA 202.A,İspanyolca IV,MELTEM MICHELE MARTINEZ VELASCO,Pazartesi 13:40 - 15:30 / Cuma 08:40 - 10:30
TLL 101,TLL 101.AE,Türk Dili ve Edebiyatı I,EZGİ HAMZAÇEBİ,Çarşamba 12:40 - 14:30
TLL 101,TLL 101.AB,Türk Dili ve Edebiyatı I,ŞENAY ÇINAR,Çarşamba 16:40 - 18:30
TLL 101,TLL 101.AA,Türk Dili ve Edebiyatı I,ŞENAY ÇINAR,Çarşamba 13:40 - 15:30
TLL 101,TLL 101.A,Türk Dili ve Edebiyatı I,YAĞMUR YILDIRIMAY,Pazartesi 12:40 - 14:30
TLL 101,TLL 101.AD,Türk Dili ve Edebiyatı I,SENEM TİMUROĞLU,Cuma 16:40 - 18:30
TLL 101,TLL 101.Y,Türk Dili ve Edebiyatı I,SENEM TİMUROĞLU,Salı 08:40 - 10:30
TLL 101,TLL 101.S,Türk Dili ve Edebiyatı I,GÜNEŞ SEZEN,Pazartesi 14:40 - 16:30
TLL 101,TLL 101.O,Türk Dili ve Edebiyatı I,MURAT NARCI,Pazartesi 14:40 - 16:30
TLL 101,TLL 101.P,Türk Dili ve Edebiyatı I,MURAT NARCI,Perşembe 12:40 - 14:30
TLL 101,TLL 101.Q,Türk Dili ve Edebiyatı I,GÜNEŞ SEZEN,Çarşamba 13:40 - 15:30
TLL 101,TLL 101.R,Türk Dili ve Edebiyatı I,GÜNEŞ SEZEN,Pazartesi 16:40 - 18:30
